Row,pointErrorDistMean,pointErrorDistMax,jaccardSimilarity
case-102480,1.65511422260131,4.43916936854871,0.78229756283544
case-102924,1.32347543080927,4.24351657800296,0.756765637134835
case-103559,1.81225751380264,4.89022151567783,0.759698601948799
case-103862,2.30572798932939,6.26440032088535,0.734987812984711
case-107215,2.11977707540939,6.64711844558038,0.77382582391339
case-107813,2.1099033416657,6.05688387048958,0.779753914988814
case-108421,2.08543542117413,5.69866072144223,0.746741661374701
case-112802,1.9160067450584,4.55783731243881,0.757465339495201
case-113033,2.13771777591998,5.69392726422001,0.733423774800746
case-116070,2.05519176519267,6.66996906493444,0.77393097758834
case-132433,1.92826075229294,5.9221216748918,0.753935005087079
case-132592,2.12747617022507,7.1793430239459,0.775212306204479
case-134434,2.13885673493554,6.17933212831547,0.755455861070912
case-135418,1.82758576441462,5.67446319043663,0.777624599154854
case-135881,1.61316898376284,4.52261838964885,0.750764208339516
case-136283,1.99298223659912,5.1930283147755,0.77643952653594
case-140368,1.65788769014839,5.14488532797835,0.745047824745449
case-140694,1.76298837748149,4.8645117144603,0.789173531275459
case-141682,1.8354676988195,5.27736961414542,0.767078293276064
case-144977,1.7221895433343,4.81642374738764,0.77353559456849
case-145250,1.97746222834762,6.5292830343451,0.771704464918498
case-146511,1.79164558543027,5.82417487100745,0.766155593412834
case-147211,1.98150283598401,5.47422333461572,0.787015413358244
case-149327,2.28683505372069,5.54230827244125,0.738131462104511
case-170206,1.70842938055597,5.03491845116833,0.765957446808511
case-174615,2.63866189343658,6.55000721930619,0.752476404757035
case-176087,1.83121522275794,5.05568997541505,0.776811007689195
case-181140,2.11042329123519,5.43319398545553,0.777697089409167
case-182401,1.86867788947466,5.43308979226245,0.793402880682828
case-184171,2.28228079808092,6.03891229094028,0.782291484270122
